Date,City,Temperature (°C),Humidity (%),Wind Speed (km/h),Weather Condition
2021-12-07,West Rachel,38.9,75,29.0,Rainy
2020-08-30,Port Jill,37.7,67,2.7,Rainy
2025-04-19,Priscillafurt,6.8,86,8.6,Cloudy
2021-05-01,Jacobmouth,22.1,63,12.2,Sunny
2020-05-07,Moranhaven,30.2,39,0.6,Cloudy
2022-12-05,South Samantha,13.0,17,21.9,Rainy
2021-09-20,Beltranborough,-0.2,31,15.6,Snowy
2022-11-04,Jenniferborough,13.9,29,18.0,Cloudy
2023-10-16,West Marytown,16.7,83,28.7,Cloudy
2021-08-17,Clarkport,16.8,19,9.7,Rainy
2024-09-06,Schroederbury,-2.6,80,3.8,Sunny
2021-02-16,New Markstad,12.5,34,18.2,Snowy
2024-03-10,Port Alice,7.1,68,17.1,Snowy
2021-12-23,North Ronaldmouth,10.9,92,13.0,Rainy
2023-10-20,Kingview,24.3,48,27.0,Snowy
2020-07-13,Joyceville,30.8,92,11.9,Sunny
2023-08-19,Marioville,25.8,25,9.5,Snowy
2022-11-03,Weaverfort,9.6,23,23.3,Cloudy
2024-10-02,New Stephanie,-8.3,35,1.3,Snowy
2022-12-08,Juliemouth,38.8,11,8.7,Cloudy
2020-07-05,Michaelview,-4.6,35,16.3,Rainy
2021-07-08,Tracyland,25.9,53,23.4,Cloudy
2020-05-17,East Carriemouth,2.6,94,2.9,Sunny
2022-01-09,South Amanda,26.6,78,18.0,Snowy
2021-10-29,Gibsonstad,26.8,70,5.3,Cloudy
2020-12-12,East Jamesport,18.6,39,29.2,Sunny
2021-10-11,Tiffanyland,29.0,39,22.1,Rainy
2023-09-14,South David,39.4,48,28.0,Cloudy
2024-03-07,Dixonborough,-1.8,38,7.1,Snowy
2022-05-24,Hannahberg,22.4,55,2.3,Cloudy
2021-05-17,Lake Nicholasville,-0.8,92,22.2,Cloudy
2021-03-24,New Charlesberg,29.4,91,11.3,Rainy
2022-07-09,Brianmouth,2.8,80,0.8,Rainy
2023-01-05,Port Michaelview,38.9,17,3.7,Snowy
2024-10-01,Paulfurt,31.1,87,16.4,Sunny
2020-02-29,West Kenneth,5.7,75,19.0,Snowy
2020-06-30,Port Gabriel,30.0,18,21.3,Snowy
2024-11-17,Aliciamouth,-9.3,63,20.1,Rainy
2021-04-05,Port Rachael,26.3,34,9.3,Rainy
2024-09-07,Shawnstad,0.7,68,2.3,Rainy
2025-03-29,Gallagherfort,2.3,80,22.1,Snowy
2022-06-07,Larsenfurt,26.6,69,4.9,Sunny
2022-01-28,Port Jessicatown,37.2,92,12.9,Rainy
2020-10-21,Perezbury,17.8,28,2.4,Rainy
2022-11-17,Jeffreyfurt,36.0,82,25.7,Cloudy
2021-02-13,South Sherichester,-1.7,19,1.3,Sunny
2021-06-24,Lake Wendyport,19.2,10,15.7,Cloudy
2020-05-10,New Valerie,36.2,77,27.3,Rainy
2024-03-21,Longfurt,17.3,49,8.9,Sunny
2024-07-14,Clarkberg,10.0,49,26.9,Sunny
2020-02-10,North Timothy,-7.5,78,20.0,Cloudy
2021-11-05,West Douglasfurt,12.9,43,3.1,Cloudy
2020-10-06,South Matthew,6.4,96,22.9,Sunny
2025-01-26,Port Thomastown,16.1,37,0.1,Rainy
2020-11-04,Cameronport,31.0,96,20.2,Snowy
2025-04-06,East Jennifer,1.4,65,21.3,Snowy
2021-02-25,Myersbury,-4.5,58,18.4,Snowy
2024-05-30,Lake Rickbury,26.2,88,7.6,Rainy
2025-05-09,Stephenview,-2.3,65,6.3,Snowy
2021-03-06,Jordanport,29.8,11,29.7,Snowy
2022-11-26,Mullinshaven,30.4,62,6.2,Sunny
2020-06-10,West Gene,3.9,30,6.5,Rainy
2021-04-07,South Deanna,37.7,60,13.3,Cloudy
2025-04-06,Martinfort,-7.9,88,7.0,Rainy
2021-06-12,Tinaborough,18.1,27,0.6,Snowy
2021-08-30,Lopezview,35.2,11,11.5,Rainy
2023-04-01,Port Jessicastad,29.2,83,11.6,Sunny
2022-02-14,Matabury,9.2,22,7.6,Rainy
2020-03-22,New Michaelburgh,-5.1,77,14.8,Rainy
2022-01-21,South Donnaton,18.7,43,18.9,Sunny
